lemma,type,gender,syllables
ant,nounSuffix,male,
s,nounSuffix,male,
ig,nounSuffix,male,
ich,nounSuffix,male,
eur,nounSuffix,male,
ismus,nounSuffix,male,
iker,nounSuffix,male,
or,nounSuffix,male,
ist,nounSuffix,male,
ier,nounSuffix,male,
ler,nounSuffix,male,
er,nounSuffix,male,
ling,nounSuffix,male,
loge,nounSuffix,male,0-2
log,nounSuffix,male,
är,nounSuffix,male,
in,nounSuffix,female,
heit,nounSuffix,female,
ei,nounSuffix,female,
a,nounSuffix,female,
ung,nounSuffix,female,
schaft,nounSuffix,female,
age,nounSuffix,female,
anz,nounSuffix,female,
anz,nounSuffix,female,
ie,nounSuffix,female,
ion,nounSuffix,female,
ik,nounSuffix,female,
enz,nounSuffix,female,
ade,nounSuffix,female,
ur,nounSuffix,female,
ine,nounSuffix,female,
üre,nounSuffix,female,
manie,nounSuffix,female,0-2
keit,nounSuffix,female,
tung,nounSuffix,female,
philie,nounSuffix,female,0-3
phobie,nounSuffix,female,0-3
nis,nounSuffix,female,
algie,nounSuffix,female,0-2
ette,nounSuffix,female,0-2
anz,nounSuffix,female,
nis,nounSuffix,neutral,
lein,nounSuffix,neutral,
tel.nounSuffix,neutral,
ment,nounSuffix,neutral,
ma,nounSuffix,neutral,
ing,nounSuffix,neutral,
in,nounSuffix,neutral,
ett,nounSuffix,neutral,
tum,nounSuffix,neutral,
ium,nounSuffix,neutral,0-1
um,nounSuffix,neutral,
chen,nounSuffix,neutral,
ett,nounSuffix,neutral,
meter,nounSuffix,neutral,0-2
ab,nounPrefix,,
an,nounPrefix,,
be,nounPrefix,,
fehl,nounPrefix,,
ge,nounPrefix,,
miss,nounPrefix,,
ober,nounPrefix,,0-1
über,nounPrefix,,0-1
um,nounPrefix,,
um,nounPrefix,,
un,nounPrefix,,
unter,nounPrefix,,0-2
zu,nounPrefix,,
ab,verbPrefix,,
an,verbPrefix,,
auf,verbPrefix,,
aus,verbPrefix,,
be,verbPrefix,,
bei,verbPrefix,,
dar,verbPrefix,,
dran,verbPrefix,,
durch,verbPrefix,,
ein,verbPrefix,,
ent,verbPrefix,,
er,verbPrefix,,
fort,verbPrefix,,
frei,verbPrefix,,
ge,verbPrefix,,
her,verbPrefix,,
hin,verbPrefix,,
hinter,verbPrefix,,0-3
hoch,verbPrefix,,
mit,verbPrefix,,
nach,verbPrefix,,
tief,verbPrefix,,
über,verbPrefix,,0-1
um,verbPrefix,,
unter,verbPrefix,,0-2
ver,verbPrefix,,
vor,verbPrefix,,
weg,verbPrefix,,
zer,verbPrefix,,
zu,verbPrefix,,
auseinander,verbPrefix,,0-3-5-8
empor,verbPrefix,,0-2
entgegen,verbPrefix,,0-3-5
entlang,,verbPrefix,,0-3
entzwei,verbPrefix,,0-3
fern,verbPrefix,,
fest,verbPrefix,,
für,verbPrefix,,
gegen,verbPrefix,,0-2
heim,verbPrefix,,
los,,verbPrefix,,
neben,verbPrefix,,0-2
nieder,verbPrefix,,0-3
weiter,verbPrefix,,0-3
zurecht,verbPrefix,,0-2
zurück,verbPrefix,,0-2
zusammen,verbPrefix,,0-2-5
wider,verbPrefix,,0-2
wieder,verbPrefix,,0-3
fehl,verbPrefix,,
miss,verbPrefix,,
im,verbPrefix,,
in,verbPrefix,,
non,verbPrefix,,
re,verbPrefix,,
un,verbPrefix,,