radix,person,numerus,tense,toUmlaut,type
e,1,singular,present,false,suffix
st,2,singular,present,false,suffix
st,2,singular,present,true,suffix
est,2,singular,present,false,suffix
t,3,singular,present,false,suffix
t,3,singular,present,true,suffix
et,3,singular,present,false,suffix
en,1,plural,present,false,suffix
t,2,plural,present,false,suffix
et,2,plural,present,false,suffix
en,3,plural,present,false,suffix
ete,1,singular,past,false,suffix
te,1,singular,past,false,suffix
etest,2,singular,past,false,suffix
test,2,singular,past,false,suffix
ete,3,singular,past,false,suffix
te,3,singular,past,false,suffix
eten,1,plural,past,false,suffix
ten,1,plural,past,false,suffix
etet,2,plural,past,false,suffix
tet,2,plural,past,false,suffix
eten,3,plural,past,false,suffix
ten,3,plural,past,false,suffix
ge,1,singular,participle,false,prefix
et,1,singular,participle,false,suffix
t,1,singular,participle,false,suffix
ge,2,singular,participle,false,prefix
et,2,singular,participle,false,suffix
t,2,singular,participle,false,suffix
ge,3,singular,participle,false,prefix
et,3,singular,participle,false,suffix
t,3,singular,participle,false,suffix
ge,1,plural,participle,false,prefix
et,1,plural,participle,false,suffix
t,1,plural,participle,false,suffix
ge,2,plural,participle,false,prefix
et,2,plural,participle,false,suffix
t,2,plural,participle,false,suffix
ge,3,plural,participle,false,prefix
et,3,plural,participle,false,suffix
t,3,plural,participle,false,suffix